EVENT,ev_lat,ev_lon,dep,NET_STA,st_lat,st_lon,Mw_RCMT,RR,vs30,sf,Tmax_s,pga,T0_010,T0_025,T0_040,T0_050,T0_070,T0_100,T0_150,T0_200,T0_250,T0_300,T0_350,T0_400,T0_450,T0_500,T0_600,T0_700,T0_750,T0_800,T0_900,T1_000,T1_200,T1_400,T1_600,T1_800,T2_000,T2_500,T3_000,T3_500,T4_000,T4_500,T5_000,T6_000,T7_000,T8_000,T9_000,T10_000,pgv
DE-1992-0010,47.702,8.287,33,EU.STA,47.864,7.797,4.3132,40.8992767347,989.7,NF,5,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893,0.00185786405498893
DE-1992-0010,47.702,8.287,33,EU.WYH,47.551,7.707,4.3132,46.7150756314,870.9,NF,3.33333333333333,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506,0.00611028795129506
EMSC-20010206_0000009,44.05,8.616,13.506,RA.STET,44.2595,6.92867,4.7396,136.972026848,550,NF,3.33333333333333,0.2336315,0.2341505,0.2436955,0.2549265,0.2750375,0.4338905,0.7134515,0.856524,0.664333,0.424865,0.540264,0.3566635,0.2948255,0.341294,0.298247,0.255297,0.1434145,0.1020595,0.079845,0.057197,0.0586805,0.052573,0.0317215,0.023274,0.020131,0.0130725,0.009261,0.0060645,0.004327,0.0030985,0.0025075,0.001704,0.001331,0.0010765,0.000914,0.000807,0.000713,0.010011135
EMSC-20010225_0000008,43.603,7.546,10,FR.ARBF,43.4917,5.3325,4.5,179.302103165,407.6,TF,3.33333333333333,0.4401855,0.4405975,0.4465805,0.4561795,0.4831455,0.55525,0.8161755,1.06879,1.458955,1.08774,1.0185535,0.7437695,0.6126185,0.499516,0.5687815,0.6280055,0.543683,0.4551915,0.4128115,0.314865,0.267694,0.2553595,0.1641175,0.0943645,0.1043185,0.076765,0.0308495,0.0214535,0.015436,0.010906,0.009175,0.006913,0.0042845,0.003221,0.0025675,0.002105,0.0017775,0.0223889
EMSC-20010225_0000008,43.603,7.546,10,FR.CALF,43.7528,6.9218,4.5,53.0149235971,1746,TF,10,0.9791225,0.981174,1.014535,1.436835,1.853795,2.521165,2.359655,1.703095,1.54862,2.07996,2.106965,2.025425,1.5409,1.422475,1.20598,1.026805,0.8441805,0.7370605,0.691868,0.5962445,0.5015465,0.272327,0.246136,0.167561,0.148901,0.115829,0.071581,0.044815,0.034137,0.0304665,0.0220615,0.0144795,0.009294,0.0071275,0.006182,0.0047565,0.00394,0.0415763
EMSC-20010225_0000008,43.603,7.546,10,FR.SAOF,43.9872,7.5545,4.5,42.693267763,550,TF,3.33333333333333,1.6246605,1.656195,1.778925,2.917295,3.737715,4.97996,4.262725,2.013525,2.064425,2.50377,1.678165,1.069155,0.7358535,0.6435415,0.657623,0.494407,0.3700015,0.331923,0.2826725,0.245195,0.2572325,0.20178,0.13568,0.1263415,0.0909185,0.08852,0.043914,0.025516,0.0177195,0.0126105,0.010606,0.008255,0.005733,0.0044155,0.0035565,0.0029045,0.0024715,0.03821095
EMSC-20010225_0000008,43.603,7.546,10,RA.STET,44.2595,6.92867,4.5,88.1931142032,550,TF,3.33333333333333,1.220345,1.228275,1.404935,2.28358,2.740085,3.392675,3.295645,5.019925,2.826095,1.6307,0.886802,0.601493,0.482014,0.4366465,0.388482,0.3209295,0.24253,0.1984315,0.197983,0.148209,0.100248,0.082701,0.0764145,0.0697305,0.0509865,0.035011,0.0197475,0.012196,0.0081525,0.006621,0.0060275,0.005047,0.004013,0.00336,0.00291,0.002556,0.0022705,0.0333641
EMSC-20010314_0000018,43.5329,8.0233,17,FR.SAOF,43.9872,7.5545,4.2066,63.0318554453,550,NF,3.33333333333333,0.4696785,0.4776845,0.5313565,0.790489,0.8138665,1.091125,0.737137,0.966653,1.0072915,1.27287,1.37316,0.8833425,0.5987275,0.507984,0.562345,0.3952665,0.251769,0.207407,0.164363,0.1183615,0.083641,0.0608545,0.0516295,0.033571,0.0262065,0.0197235,0.0117475,0.010921,0.005487,0.0048635,0.0045075,0.003067,0.0027505,0.001871,0.0015395,0.0013745,0.0012525,0.01757085
EMSC-20010314_0000018,43.5329,8.0233,17,RA.STET,44.2595,6.92867,4.2066,119.382962663,550,NF,3.33333333333333,0.1566295,0.1569765,0.1685845,0.270279,0.3335385,0.4443955,0.365965,0.625954,0.349259,0.3307615,0.259261,0.1394675,0.104465,0.0661915,0.059847,0.041202,0.023202,0.0195195,0.017238,0.015024,0.0147305,0.0111545,0.006968,0.0061975,0.0053545,0.0045605,0.0022835,0.0018555,0.001508,0.0013825,0.001048,0.0007775,0.000565,0.0004435,0.000374,0.000337,0.000307,0.005038
EMSC-20010718_0000012,44.943,8.466,10.101,RA.STET,44.2595,6.92867,4.8462,143.750842767,550,SS,3.33333333333333,0.556907,0.558048,0.5709715,0.6022155,0.631061,0.730414,1.040765,2.151815,1.634315,0.9414025,0.706292,0.636392,0.5623535,0.4624615,0.364883,0.238953,0.186883,0.167327,0.1389335,0.0776935,0.0629395,0.037859,0.0279165,0.01983,0.015812,0.0115,0.0083655,0.0061695,0.0044725,0.003857,0.0032745,0.0028335,0.002249,0.001718,0.001495,0.001276,0.0011455,0.0186462
